bctcb2020,south_edge,east_edge,avenue_number
10242003006,125,2nd,1
10242003007,124,2nd,1
10194004000,123,2nd,1
10242003005,126,2nd,1
10196003000,125,3rd,2
10196003005,124,3rd,2
10242002003,126,3rd,2
10196003004,123,3rd,2
10196003001,125,Lexington,3
10196003002,124,Lexington,3
10242002002,126,Lexington,3
10196003003,123,Lexington,3
10198001000,125,Park,4
10206002006,126,Park,4
10198001003,124,Park,4
10198001004,123,Park,4
10206001005,126,Madison,5
10198001001,125,Madison,5
10198001002,124,Madison,5
10208003001,126,5th,6
10200002000,125,5th,6
10200002001,124,5th,6
10224002001,126,Malcolm X,7
10222002000,125,Malcolm X,7
10222002001,124,Malcolm X,7
10222002002,123,Malcolm X,7
10224002002,126,Adam Clayton Powell,8
10222001000,125,Adam Clayton Powell,8
10222001001,124,Adam Clayton Powell,8
10222001002,123,Adam Clayton Powell,8
10215001002,126,Frederick Douglass,9
10257001000,125,Frederick Douglass,9
10257001001,124,Frederick Douglass,9
10257001002,123,Frederick Douglass,9
10256001003,124,Saint Nicholas,10
10213034002,126,Saint Nicholas,10
10209011001,125,Saint Nicholas,10
10209011002,124,Saint Nicholas,10
10209011004,123,Saint Nicholas,10
