Provider Number,Provider Name,Program Number,Program Name,Program County,Program Category,Program Service Type,Program Status,Zip Code of Residence,Total Admissions
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10001,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10002,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10004,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10009,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10019,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10025,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10027,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10028,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10029,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10033,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10035,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10036,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10038,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10306,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10312,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10314,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10451,7
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10452,8
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10453,6
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10454,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10455,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10456,13
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10457,50
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10458,6
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10459,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10460,6
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10462,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10463,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10464,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10466,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10468,R
166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,Opioid Treatment Program,MAOT‐A‐Residential,Operational,10469,R
