Year,Provider No,Provider Name,Program No,Program Name,County,Current Community District,Street Address,City,Zip Code,Program Type,Service Type,Current Status,Average Daily Enrollment
2010,19,"Addicts Rehabilitation Center Fund,Inc",363,Addicts Residential Rehabilitation IR,New York,111,1881 Park Avenue,New York,10035,Residential,Intensive Residential,Closed,63
2015,19,"Addicts Rehabilitation Center Fund,Inc",363,Addicts Residential Rehabilitation IR,New York,111,1881 Park Avenue,New York,10035,Residential,Intensive Residential,Closed,159
2010,19,"Addicts Rehabilitation Center Fund,Inc",6553,Addicts Residential Rehabilitation IR1,New York,111,2015‐25 Madison Ave,New York,10035,Residential,Intensive Residential,Closed,182
2015,19,"Addicts Rehabilitation Center Fund,Inc",6553,Addicts Residential Rehabilitation IR1,New York,111,2015‐25 Madison Ave,New York,10035,Residential,Intensive Residential,Closed,44
2019,19,"Addicts Rehabilitation Center Fund,Inc",53111,Addicts Rehabilitation Center Fund RRh,New York,111,1881 Park Ave,New York,10035,Residential,820 Residential Rehabilitation,Operational,116
2010,80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Kings,302,175 Remsen St,Brooklyn,11201,Outpatient,Outpatient Clinic,Operational,214
2015,80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Kings,302,175 Remsen St,Brooklyn,11201,Outpatient,Outpatient Clinic,Operational,199
2019,80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Kings,302,175 Remsen St,Brooklyn,11201,Outpatient,Outpatient Clinic,Operational,174
2010,80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. Inc. OP,Kings,302,210 Joralemon St,Brooklyn,11201,Outpatient,Outpatient Clinic,Operational,213
2015,80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. Inc. OP,Kings,302,210 Joralemon St,Brooklyn,11201,Outpatient,Outpatient Clinic,Operational,147
2019,80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. Inc. OP,Kings,302,210 Joralemon St,Brooklyn,11201,Outpatient,Outpatient Clinic,Operational,93
