Lat,Lon,Title,Zip Code,Total Patients
40.751588,-74.00460569,,10001,601
40.7164485,-73.98521353,,10002,921
40.731183,-73.99108954,,10003,0
40.6890355,-74.01800699,,10004,0
40.70621,-74.00866727,,10005,0
40.7096045,-74.01245656,,10006,0
40.7134765,-74.00704402,,10007,0
40.726825,-73.97862333,,10009,111
40.7388495,-73.98222571,,10010,392
40.7438945,-74.00071942,,10011,0
40.725946,-73.99790339,,10012,518
40.720476,-74.00475659,,10013,0
40.7334715,-74.00527335,,10014,0
40.7450775,-73.97853467,,10016,142
40.752552,-73.97009654,,10017,0
40.755716,-73.99328984,,10018,0
40.7663205,-73.98766596,,10019,239
40.758174,-73.97884379,,10020,0
40.769305,-73.95854704,,10021,93
40.758326,-73.9649795,,10022,0
40.775685,-73.98271629,,10023,0
40.7983985,-73.97515175,,10024,0
40.7998185,-73.96569557,,10025,0
40.8022205,-73.95209889,,10026,0
40.8124475,-73.95261947,,10027,592
40.775947,-73.95246925,,10028,0
40.7914765,-73.94424824,,10029,335
40.8182085,-73.94268286,,10030,0
40.825482,-73.94984393,,10031,0
40.839748,-73.94175623,,10032,0
40.852251,-73.93543105,,10033,149
40.8636655,-73.92061677,,10034,0
40.8016565,-73.93754389,,10035,1667
40.758933,-73.9897431,,10036,0
40.8131265,-73.93776641,,10037,0
40.7082525,-74.00345702,,10038,0
40.8322245,-73.93751661,,10039,0
40.8591,-73.93153723,,10040,0
40.761334,-73.95033932,,10044,0
40.764908,-73.96385647,,10065,0
40.7761745,-73.99044191,,10069,0
40.7735535,-73.95596942,,10075,0
40.759115,-73.97759675,,10111,0
40.810851,-73.96374229,,10115,0
40.7805775,-73.95029028,,10128,53
40.70755,-74.01746936,,10280,0
40.7146,-74.015,,10281,0
40.7166,-74.0146,,10282,0
40.624904,-74.09616615,,10301,0
40.6293755,-74.13749388,,10302,0
40.6287715,-74.16570241,,10303,0
40.607853,-74.08843656,,10304,37
40.5971215,-74.07123079,,10305,0
40.574783,-74.12493365,,10306,0
40.508104,-74.24284398,,10307,0
40.551825,-74.14896583,,10308,0
40.5291625,-74.21922568,,10309,183
40.6330155,-74.11780549,,10310,0
40.5440935,-74.18052882,,10312,0
40.595758,-74.16170327,,10314,0
40.8194205,-73.92529047,,10451,573
40.8376,-73.9216,,10452,0
40.8527955,-73.912894,,10453,118
40.80543,-73.91579677,,10454,165
40.8142915,-73.90877164,,10455,804
40.8289835,-73.90948993,,10456,209
40.8470235,-73.89764095,,10457,1243
40.8633,-73.8895,,10458,0
40.8257955,-73.89254654,,10459,0
40.843683,-73.88357043,,10460,0
40.8465,-73.841,,10461,168
40.84333,-73.85997967,,10462,0
40.8798,-73.9067,,10463,0
40.8469,-73.7874,,10464,0
40.826594,-73.82757388,,10465,0
40.8904,-73.8503,,10466,0
40.8737,-73.8712,,10467,81
40.8662,-73.9003,,10468,0
40.8702,-73.8495,,10469,0
40.8946235,-73.87198174,,10470,0
40.899998,-73.90116977,,10471,0
40.8295,-73.8716,,10472,0
40.8194,-73.8606,,10473,0
40.8139,-73.8841,,10474,0
40.8729,-73.8278,,10475,0
40.7251235,-73.70701143,,11001,0
40.7460035,-73.71107325,,11004,165
40.7556395,-73.71242404,,11005,0
40.746997,-73.68044977,,11040,0
40.621725,-73.75221354,,11096,0
40.7455075,-73.94075585,,11101,0
40.7732315,-73.92753048,,11102,0
40.7623265,-73.91215906,,11103,0
40.743765,-73.92048969,,11104,0
40.779106,-73.91200675,,11105,0
40.762099,-73.93090875,,11106,0
40.745491,-73.95712809,,11109,0
40.6943475,-73.99021218,,11201,0
40.648688,-73.93389789,,11203,198
40.621129,-73.98629875,,11204,0
40.696937,-73.96667138,,11205,0
40.702406,-73.94186275,,11206,196
40.6717205,-73.89312274,,11207,378
40.669686,-73.87016417,,11208,0
40.620983,-74.03182135,,11209,0
40.6254685,-73.94449715,,11210,0
40.7095,-73.9563,,11211,0
40.664642,-73.9145193,,11212,157
40.67,-73.9366,,11213,88
40.598269,-73.99654825,,11214,0
40.6669,-73.9828,,11215,404
40.6814155,-73.94672829,,11216,0
40.6816,-73.9798,,11217,0
40.6424,-73.9758,,11218,100
40.6334315,-73.99536407,,11219,0
40.6408055,-74.018175,,11220,0
40.6925205,-73.92555426,,11221,0
40.7287395,-73.94743931,,11222,0
40.5963485,-73.97248893,,11223,0
40.5770605,-73.99118446,,11224,0
40.6632485,-73.95077317,,11225,0
40.6459005,-73.95669433,,11226,0
40.616493,-74.0130101,,11228,0
40.600788,-73.94589898,,11229,0
40.622289,-73.96564629,,11230,0
40.6761385,-74.00683836,,11231,336
40.6576755,-74.00558683,,11232,108
40.6768545,-73.91687059,,11233,
40.6091715,-73.91369638,,11234,
40.584445,-73.94861893,,11235,
40.639614,-73.90023731,,11236,54
40.7033835,-73.92126636,,11237,
40.67661,-73.96393351,,11238,354
40.6468355,-73.88243873,,11239,
40.7664995,-73.82369948,,11354,
40.750868,-73.82073715,,11355,
40.784271,-73.84233724,,11356,
40.787373,-73.81124855,,11357,
40.7616375,-73.79640393,,11358,
40.791738,-73.7769023,,11359,
40.7807715,-73.78043498,,11360,
40.7627,-73.7745,,11361,
40.7552435,-73.73496106,,11362,
40.7722,-73.7454,,11363,
40.74613,-73.76151724,,11364,
40.7374,-73.7951,,11365,
40.7272,-73.7949,,11366,
40.728,-73.8195,,11367,
40.7505115,-73.85139305,,11368,
40.763826,-73.87268075,,11369,
40.791442,-73.88311551,,11370,
40.7721,-73.8735,,11371,
40.7513,-73.883,,11372,
40.7351,-73.8776,,11373,102
40.7278,-73.8602,,11374,
40.7229,-73.8473,,11375,
40.745,-73.9069,,11377,
40.724945,-73.90705208,,11378,
40.718561,-73.87888275,,11379,0
40.69846,-73.88970103,,11385,0
40.69261,-73.73632037,,11411,0
40.6958,-73.7617,,11412,0
40.6645,-73.7559,,11413,0
40.6588,-73.8438,,11414,0
40.7069,-73.8297,,11415,0
40.6838,-73.8514,,11416,0
40.6769,-73.8448,,11417,0
40.6982,-73.8345,,11418,593
40.6868,-73.823,,11419,0
40.675074,-73.81912551,,11420,0
40.692976,-73.85716345,,11421,0
40.659434,-73.7352741,,11422,0
40.715463,-73.76508745,,11423,0
40.738234,-73.72083921,,11426,0
40.7306495,-73.74721409,,11427,0
40.7212985,-73.74032997,,11428,0
40.7110355,-73.7403886,,11429,0
40.6416225,-73.77703942,,11430,0
40.714952,-73.79223034,,11432,396
40.6976095,-73.78666679,,11433,0
40.6764415,-73.77502128,,11434,0
40.700998,-73.80976009,,11435,0
40.676221,-73.79717566,,11436,0
40.700875,-73.7957003,,11451,0
40.602235,-73.75410842,,11691,0
40.5955705,-73.79744502,,11692,0
40.5895025,-73.81089017,,11693,0
40.5778045,-73.84677345,,11694,0
40.5594,-73.9067,,11697,0
