Zip Code,OTP Admissions
10001,Yes
10002,Yes
10003,Yes
10004,Yes
10005,Yes
10007,Yes
10009,Yes
10010,Yes
10011,Yes
10012,Yes
10013,Yes
10014,Yes
10016,Yes
10017,Yes
10018,Yes
10019,Yes
10021,Yes
10022,Yes
10023,Yes
10024,Yes
10025,Yes
10026,Yes
10027,Yes
10028,Yes
10029,Yes
10030,Yes
10031,Yes
10032,Yes
10033,Yes
10034,Yes
10035,Yes
10036,Yes
10037,Yes
10038,Yes
10039,Yes
10040,Yes
10044,Yes
10065,Yes
10075,Yes
10128,Yes
10301,Yes
10302,Yes
10303,Yes
10304,Yes
10305,Yes
10306,Yes
10307,Yes
10308,Yes
10309,Yes
10310,Yes
10312,Yes
10314,Yes
10451,Yes
10452,Yes
10453,Yes
10454,Yes
10455,Yes
10456,Yes
10457,Yes
10458,Yes
10459,Yes
10460,Yes
10461,Yes
10462,Yes
10463,Yes
10464,Yes
10465,Yes
10466,Yes
10467,Yes
10468,Yes
10469,Yes
10470,Yes
10471,Yes
10472,Yes
10473,Yes
10474,Yes
10475,Yes
11001,Yes
11004,Yes
11040,Yes
11096,Yes
11101,Yes
11102,Yes
11103,Yes
11104,Yes
11105,Yes
11106,Yes
11201,Yes
11203,Yes
11204,Yes
11205,Yes
11206,Yes
11207,Yes
11208,Yes
11209,Yes
11210,Yes
11211,Yes
11212,Yes
11213,Yes
11214,Yes
11215,Yes
11216,Yes
11217,Yes
11218,Yes
11219,Yes
11220,Yes
11221,Yes
11222,Yes
11223,Yes
11224,Yes
11225,Yes
11226,Yes
11228,Yes
11229,Yes
11230,Yes
11231,Yes
11232,Yes
11233,Yes
11234,Yes
11235,Yes
11236,Yes
11237,Yes
11238,Yes
11239,Yes
11249,Yes
11354,Yes
11355,Yes
11356,Yes
11357,Yes
11358,Yes
11360,Yes
11361,Yes
11362,Yes
11363,Yes
11364,Yes
11365,Yes
11366,Yes
11367,Yes
11368,Yes
11369,Yes
11370,Yes
11372,Yes
11373,Yes
11374,Yes
11375,Yes
11377,Yes
11378,Yes
11379,Yes
11385,Yes
11411,Yes
11412,Yes
11413,Yes
11414,Yes
11415,Yes
11416,Yes
11417,Yes
11418,Yes
11419,Yes
11420,Yes
11421,Yes
11422,Yes
11423,Yes
11426,Yes
11427,Yes
11428,Yes
11429,Yes
11430,Yes
11432,Yes
11433,Yes
11434,Yes
11435,Yes
11436,Yes
11691,Yes
11692,Yes
11693,Yes
11694,Yes
11697,Yes
83,No
11451,No
11371,No
11359,No
11251,No
11109,No
11005,No
10280,No
10281,No
10282,No
10111,No
10115,No
10069,No
10048,No
10020,No
10006,No
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
