Office,District,Party,FirstName,MiddleName,LastName,CandidateSuffix,Address,officeID
"Governor","","Democratic","Kathy","C.","Hochul","","Executive Chambers Capitol Albany NY 12224","4"
"Lt. Governor","","Democratic","Antonio","","Delgado","","Executive Offices Capitol Albany NY 12224","5"
"Comptroller","","Democratic","Thomas","P.","DiNapoli","","110 State Street  Albany NY 12207","6"
"Attorney General","","Democratic","Letitia","A.","James","","Executive Offices Capitol Albany NY 12224","7"
"U.S. Senator","","Democratic","Charles","E.","Schumer","","United State Senate  Washington DC 20510","8"
"U.S. Senator","","Democratic","Kirsten","E.","Gillibrand","","United State Senate  Washington DC 20510","8"
"Representative in Congress","1","Republican","Nicholas","J.","LaLota","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","2","Republican","Andrew","R.","Garbarino","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","3","Republican","George","A.D.","Santos","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","4","Republican","Anthony","P.","D&#39;Esposito","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","5","Democratic","Gregory","W.","Meeks","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","6","Democratic","Grace","","Meng","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","7","Democratic","Nydia","M.","Velazquez","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","8","Democratic","Hakeem","S.","Jeffries","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","9","Democratic","Yvette","D.","Clarke","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","10","Democratic","Daniel","","Goldman","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","11","Republican","Nicole","","Malliotakis","","U. S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","12","Democratic","Jerrold","L.","Nadler","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","13","Democratic","Adriano","","Espaillat","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","14","Democratic","Alexandria","","Ocasio-Cortez","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","15","Democratic","Ritchie","","Torres","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","16","Democratic","Jamaal","","Bowman","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","17","Republican","Mike","","Lawler","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","18","Democratic","Pat","","Ryan","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","19","Republican","Marcus","","Molinaro","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","20","Democratic","Paul","D.","Tonko","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","21","Republican","Elise","M.","Stefanik","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","22","Republican","Brandon","M.","Williams","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","23","Republican","Nick","","Langworthy","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","24","Republican","Claudia","","Tenney","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","25","Democratic","Joseph","D.","Morelle","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","26","Democratic","Brian","","Higgins","","U.S. House of Representatives  Washington DC 20515","10"
"Representative in Congress","27","Republican","Chris","","Jacobs","","U.S. House of Representatives  Washington DC 20515","10"
"State Senator","1","Republican","Anthony","H.","Palumbo","","New York State Senate Legislative Office Building Albany NY 12247","11"
"State Senator","2","Republican","Mario","R.","Mattera","","New York State Senate Legislative Office Building Albany NY 12247","11"
"State Senator","3","Republican","Dean","","Murray","","New York State Senate Legislative Office Building Albany NY 12247","11"
"State Senator","4","Democratic","Monica","R.","Martinez","","New York State Senate Legislative Office Building Albany NY 12247","11"
"State Senator","5","Republican","Steven","D.","Rhoads","","New York State Senate Legislative Office Building Albany NY 12247","11"
"State Senator","6","Working Families","Kevin","M.","Thomas","","New York State Senate Legislative Office Building Albany NY 12247","11"
"State Senator","7","Republican","Jack","M.","Martins","","New York State Senate Legislative Office Building Albany NY 12247","11"
