Orig Order,GeoType,Borough,GeoID,BCT2020,Name,CD Type,NTA Type,Pop_10,Pop_10P,Pop_20,Pop_20P,Rank by poverty,,community board names,district code,2020 population,proverty rank,short community board names,community board ID and short community board names
1,NYC,New York City,0,,NYC,,,"8,175,133",100.0,"8,804,190",100.0,,,,,,,,
2,Boro,Manhattan,1,,Manhattan,,,"1,585,873",100.0,"1,694,251",100.0,,,New York,1,"1,694,251",,New York,1-New York
3,Boro,Bronx,2,,Bronx,,,"1,385,108",100.0,"1,472,654",100.0,,,Bronx,2,"1,472,654",,Bronx,2-Bronx
4,Boro,Brooklyn,3,,Brooklyn,,,"2,504,700",100.0,"2,736,074",100.0,,,Kings,3,"2,736,074",,Kings,3-Kings
5,Boro,Queens,4,,Queens,,,"2,230,722",100.0,"2,405,464",100.0,,,Queens,4,"2,405,464",,Queens,4-Queens
6,Boro,Staten Island,5,,Staten Island,,,"468,730",100.0,"495,747",100.0,,,Richmond,5,"495,747",,Richmond,5-Richmond
7,CD,Manhattan,101,,Manhattan Community District 1,CD,,"60,978",100.0,"78,390",100.0,,101,Tribeca Financial District,101,"78,390",,Tribeca/FIDI,101-Tribeca/FIDI
8,CD,Manhattan,102,,Manhattan Community District 2,CD,,"90,016",100.0,"92,445",100.0,,102,"Greenwich, Soho, Chinatown",102,"92,445",,"Greenwich, Soho, Chinatown","102-Greenwich, Soho, Chinatown"
9,CD,Manhattan,103,,Manhattan Community District 3,CD,,"163,277",100.0,"163,141",100.0,,103,Lower East Side,103,"163,141",,Lower East Side,103-Lower East Side
10,CD,Manhattan,104,,Manhattan Community District 4,CD,,"103,245",100.0,"131,351",100.0,,104,"Clinton, Chelsea",104,"131,351",,"Clinton, Chelsea","104-Clinton, Chelsea"
11,CD,Manhattan,105,,Manhattan Community District 5,CD,,"51,673",100.0,"63,600",100.0,,105,"Midtown South, Times Square, Union Square",105,"63,600",,"Midtown South, Union Square","105-Midtown South, Union Square"
12,CD,Manhattan,106,,Manhattan Community District 6,CD,,"142,745",100.0,"155,614",100.0,,106,"Stuyvesant town, Murray Hill",106,"155,614",,"Stuyvesant town, Murray Hill","106-Stuyvesant town, Murray Hill"
13,CD,Manhattan,107,,Manhattan Community District 7,CD,,"209,084",100.0,"222,129",100.0,,107,Upper West Side,107,"222,129",,Upper West Side,107-Upper West Side
14,CD,Manhattan,108,,Manhattan Community District 8,CD,,"219,920",100.0,"231,983",100.0,,108,Upper East Side,108,"231,983",,Upper East Side,108-Upper East Side
15,CD,Manhattan,109,,Manhattan Community District 9,CD,,"110,193",100.0,"110,458",100.0,,109,West Harlem,109,"110,458",,West Harlem,109-West Harlem
16,CD,Manhattan,110,,Manhattan Community District 10,CD,,"115,723",100.0,"130,440",100.0,,110,Central Harlem,110,"130,440",,Central Harlem,110-Central Harlem
17,CD,Manhattan,111,,Manhattan Community District 11,CD,,"120,511",100.0,"125,771",100.0,,111,East Harlem,111,"125,771",,East Harlem,111-East Harlem
18,CD,Manhattan,112,,Manhattan Community District 12,CD,,"190,020",100.0,"180,206",100.0,,112,Inwood and Washington Heights,112,"180,206",,Inwood and Washington Heights,112-Inwood and Washington Heights
19,CD,Manhattan,164,,Central Park,JIA,,25,100.0,129,100.0,,,,,129,,,164-
20,CD,Bronx,201,,Bronx Community District 1,CD,,"91,497",100.0,"100,929",100.0,4,201,"Mott Haven, Port Morris, Melrose",201,"100,929",4,"Mott Haven,  Melrose","201-Mott Haven,  Melrose"
21,CD,Bronx,202,,Bronx Community District 2,CD,,"52,246",100.0,"54,454",100.0,3,202,"Hunts Point, Longwood, Morrisania",202,"54,454",3,"Hunts Point, Morrisania","202-Hunts Point, Morrisania"
22,CD,Bronx,203,,Bronx Community District 3,CD,,"79,762",100.0,"93,755",100.0,6,203,"Crotona Park, Claremont Village, Concourse Village, Woodstock, and Morrisania",203,"93,755",6,"Morrisania, Concourse Village","203-Morrisania, Concourse Village"
23,CD,Bronx,204,,Bronx Community District 4,CD,,"146,441",100.0,"150,436",100.0,2,204,"Highbridge, Concourse, Mount Eden, and Concourse Village",204,"150,436",2,"Highbridge, Concourse","204-Highbridge, Concourse"
24,CD,Bronx,205,,Bronx Community District 5,CD,,"128,200",100.0,"132,584",100.0,1,205,"Fordham, University Heights, Morris Heights, Bathgate, and Mount Hope",205,"132,584",1,"Fordham, University Heights","205-Fordham, University Heights"
25,CD,Bronx,206,,Bronx Community District 6,CD,,"83,268",100.0,"89,216",100.0,5,206,"Belmont, Bathgate, West Farms, East Tremont, and Bronx Park South",206,"89,216",5,"Belmont, East Tremont","206-Belmont, East Tremont"
26,CD,Bronx,207,,Bronx Community District 7,CD,,"139,286",100.0,"146,813",100.0,11,207,"Norwood, University Heights, Jerome Park, Bedford Park, Fordham, and Kingsbridge Heights",207,"146,813",11,"Norwood, Kingsbridge Heights","207-Norwood, Kingsbridge Heights"
27,CD,Bronx,208,,Bronx Community District 8,CD,,"101,731",100.0,"106,924",100.0,,208,"Fieldston, Kingsbridge, Kingsbridge Heights, Marble Hill, Riverdale, Spuyten Duyvil, Van Cortlandt Village",208,"106,924",,"Riverdale, Van Cortlandt Village","208-Riverdale, Van Cortlandt Village"
