program_number,latitude,longitude
148,40.65822,-73.93997
209,40.84615,-73.84104
214,40.80361,-73.91029
215,40.82558,-73.91898
217,40.84615,-73.84104
256,40.75363,-73.92919
291,40.71835,-73.98862
292,40.73814,-74.00057
305,40.68664,-73.99368
312,40.67297,-73.92741
315,40.67877,-73.95853
329,40.6733,-74.0001
334,40.81871,-73.90393
414,40.65822,-73.93997
421,40.66929,-73.90369
662,40.66419,-73.89693
924,40.72317,-73.98545
925,40.68566,-73.9789
926,40.80504,-73.93858
927,40.80504,-73.93858
928,40.80504,-73.93858
930,40.80814,-73.94728
932,40.80814,-73.94728
935,40.67179,-73.99671
938,40.73899,-73.98034
939,40.73899,-73.98034
941,40.80504,-73.93858
946,40.73899,-73.98034
947,40.73899,-73.98034
948,40.73908,-73.98027
952,40.80504,-73.93858
956,40.80524,-73.95359
1476,40.72245,-73.99689
1481,40.81448,-73.9192
1484,40.73723,-73.9841
1487,40.7692,-73.9864
3868,40.67179,-73.99671
3870,40.71835,-73.98862
3871,40.73899,-73.98034
4602,40.6733,-74.0001
5486,40.81448,-73.9192
6703,40.82558,-73.91898
6977,40.66396,-73.9972
7138,40.81322,-73.92961
7242,40.85097,-73.84443
7256,40.85443,-73.89083
7279,40.80504,-73.93858
7338,40.76557,-73.95437
52205,40.76557,-73.95437
52220,40.70075,-73.80745
52221,40.70075,-73.80745
52527,40.73723,-73.9841
52562,40.67877,-73.95853
52568,40.70075,-73.80745
52789,40.84615,-73.84104
53,40.72645,-73.97864
55,40.72096,-73.9782
103,40.657,-73.94635
122,40.79889,-73.96245
167,40.79947,-73.95323
227,40.82035,-73.90488
363,40.80702,-73.9373
458,40.75752,-73.86161
528,40.61282,-73.96311
586,40.74589,-73.99233
643,40.65896,-73.94216
658,40.80064589,-73.95101044
1269,40.64807,-73.90499
1341,40.62581,-74.15272
1343,40.68713,-73.98298
1593,40.673,-73.94525
1656,40.84589,-73.91699
1687,40.62613,-74.13219
1809,40.79748,-73.93262
1814,40.70184,-73.81532
1875,40.70165,-73.80769
2016,40.9062,-73.90408
2556,40.84397,-73.89156
2954,40.69716,-73.96004
2955,40.76518,-73.93998
3089,40.7498,-73.71216
3489,40.75318,-73.99156
3557,40.5924,-73.79386
3621,40.69718,-73.90605
3799,40.68111,-73.77532
3971,40.85623,-73.89193
4026,40.84014,-73.88967
4161,40.82569,-73.94828
4167,40.82558,-73.91898
4296,40.78805,-73.94746
4297,40.68111,-73.77532
4368,40.83977,-73.88977
4490,40.7543,-73.99234
4565,40.73361,-73.9829
5111,40.74011,-73.98935
5475,40.80202,-73.93756
5513,40.74497,-73.98003
5594,40.6583,-73.77018
5825,40.73293,-73.9832
5931,40.75734,-73.96828
5961,40.73954,-73.97633
6012,40.81699,-73.92277
6015,40.75216,-73.98773
6070,40.80873,-73.94884
6072,40.79748,-73.93262
6074,40.73361,-73.9829
6094,40.61314,-74.12008
6098,40.75628,-73.98178
6118,40.76698,-73.92106
6134,40.86196,-73.89702
6197,40.84722,-73.93177
6272,40.76061,-73.98823
6273,40.76992,-73.98748
6285,40.69338,-73.99147
6287,40.74996,-73.9362
6308,40.68523,-73.79326
6321,40.71259,-73.96188
6334,40.69464,-73.92878
6402,40.69338,-73.99147
6450,40.80022,-73.93814
6455,40.5944,-74.13501
6494,40.79607,-73.93741
6496,40.7251,-73.99688
6520,40.69731,-73.98586
6553,40.8078,-73.93896
6595,40.70236,-73.81126
6695,40.79977,-73.96371
6733,40.75307,-73.99261
6801,40.84239,-73.90371
6813,40.80986,-73.9158
6832,40.84614,-73.90435
6868,40.84227,-73.8903
6871,40.82259,-73.94421
6884,40.72096,-73.9782
6978,40.74731,-73.99679
6985,40.70746,-74.00567
7053,40.78591,-73.94568
7058,40.5924,-73.79386
7070,40.75307,-73.99261
7071,40.84303,-73.84405
7072,40.62581,-74.15272
7073,40.7361,-73.99122
7075,40.67631,-73.95196
7083,40.70165,-73.80769
7085,40.68713,-73.98298
7093,40.6733,-74.0001
7102,40.81078,-73.95304
7128,40.70514,-74.01601
7133,40.83999,-73.91922
7144,40.70365,-73.98674
7146,40.79239,-73.9448
7154,40.81644,-73.91809
7155,40.7483,-73.98989
7156,40.75308,-73.98416
7159,40.83183,-73.90008
7179,40.79186,-73.94721
7180,40.69338,-73.99147
7182,40.64504,-74.01437
7198,40.77962,-73.98018
7209,40.54297,-74.16362
7210,40.70032,-73.83568
7219,40.80088,-73.93648
7221,40.78655,-73.92795
7222,40.78655,-73.92795
7248,40.71349,-73.83047
7250,40.76366,-73.98713
7271,40.75363,-73.92919
7275,40.65072,-73.95681
7277,40.67278,-73.96098
7294,40.7137,-73.99586
7301,40.66506,-73.8744
7310,40.68963,-73.99052
7311,40.64071,-74.07591
7312,40.70569,-73.79996
7318,40.64071,-74.07591
7323,40.81922,-73.90285
7332,40.83433,-73.90232
7334,40.58019,-73.95659
7335,40.7836,-73.95374
7356,40.58213,-73.96031
7371,40.80254,-73.96691
7373,40.70426,-74.01172
7383,40.82539,-73.90943
7392,40.82159,-73.89187
7393,40.69338,-73.99147
7422,40.83995,-73.91841
8046,40.76992,-73.98748
8048,40.73293,-73.9832
8049,40.75307,-73.99261
50012,40.74492,-73.99303
50014,40.74492,-73.99303
50016,40.8154,-73.90816
50018,40.64662,-74.02058
50019,40.64518,-74.00914
50020,40.59865,-73.753
50021,40.60542,-73.75237
50033,40.84873,-73.90249
50049,40.71011,-73.99075
50052,40.72593,-73.99095
50133,40.81259,-73.9542
50205,40.80575,-73.96157
50206,40.80517,-73.96092
50208,40.79923,-73.97106
50211,40.84615,-73.84104
50223,40.74511,-73.8856
50224,40.74409,-73.88485
50249,40.8034,-73.94207
50257,40.76992,-73.98748
50259,40.76992,-73.98748
50288,40.81669,-73.88952
50298,40.71878,-73.80335
50311,40.73757,-74.00119
50316,40.81435,-73.94031
50320,40.57623,-73.98562
50328,40.68673,-73.94529
50329,40.73774,-73.97874
50330,40.73215,-73.86828
50337,40.68553,-73.98167
50587,40.67802,-73.93745
50718,40.85242,-73.89268
50742,40.74025,-73.73556
50744,40.68996,-73.92881
50823,40.68538,-73.79296
50911,40.70034,-73.9416
50962,40.82553,-73.94716
50985,40.86608,-73.92466
50998,40.67589,-73.89719
51008,40.63874,-74.07763
51015,40.75977,-73.97402
51113,40.73293,-73.9832
51115,40.83123,-73.90271
51117,40.76992,-73.98748
51144,40.8195,-73.91572
51145,40.8195,-73.91572
51149,40.63098,-73.9454
51154,40.74195,-73.98615
51157,40.63938,-74.07612
51264,40.74468,-73.90225
51265,40.68223,-73.8061
51422,40.51655,-74.19712
51470,40.70745,-74.00748
51582,40.72822,-73.98646
51594,40.80341,-73.95335
51600,40.81448,-73.9192
51686,40.75752,-73.8262
51697,40.81686,-73.89917
51698,40.70585,-73.80823
51729,40.83827,-73.93969
51744,40.69179,-73.98748
51750,40.80517,-73.96092
51760,40.67802,-73.95438
51782,40.89248,-73.85911
51788,40.83375,-73.92907
51801,40.84873,-73.90249
51820,40.69152,-73.8052
51827,40.75544,-73.81562
51829,40.63205,-74.09602
51840,40.80054,-73.93542
51843,40.7531,-73.99303
51845,40.62797,-73.97546
51847,40.73205,-73.9544
51859,40.72136,-73.83776
51885,40.68673,-73.94529
51889,40.85547,-73.84661
51908,40.71878,-73.80335
51909,40.657,-73.94635
51910,40.69488,-73.97628
51912,40.73954,-73.97633
51913,40.69468,-73.95442
51952,40.8074,-73.94411
51953,40.631,-73.96675
51959,40.75216,-73.98773
51971,40.82291,-73.90006
51973,40.67117,-73.95023
51975,40.6349,-74.13535
51981,40.85407,-73.9067
51992,40.87394,-73.85615
51993,40.6924,-73.99092
51994,40.67838,-73.91013
51997,40.74891,-73.87041
51998,40.70704,-74.00737
52001,40.82539,-73.90943
52002,40.82838,-73.92353
52006,40.69338,-73.99147
52021,40.70169,-73.94287
52030,40.77962,-73.98018
52031,40.80088,-73.93648
52046,40.84083,-73.8477
52057,40.7045,-73.79763
52059,40.80759,-73.94687
