Data Year,County,ZIP Code,Numerator,Rate
2019,Suffolk,6390,0,0.0*
2019,New York,10001,337,1286.8
2019,New York,10002,215,258.7
2019,New York,10003,284,509.4
2019,New York,10004,7,181.2*
2019,New York,10005,6,62.0*
2019,New York,10006,s,s
2019,New York,10007,7,40.7*
2019,New York,10009,195,303.2
2019,New York,10010,61,185.5
2019,New York,10011,61,116.6
2019,New York,10012,60,254.6
2019,New York,10013,44,145.2
2019,New York,10014,27,84
2019,New York,10016,542,949.2
2019,New York,10017,31,178.7
2019,New York,10018,29,417.4
2019,New York,10019,221,500.8
2019,New York,10021,34,78.6
2019,New York,10022,26,76.8
2019,New York,10023,47,63.9
2019,New York,10024,44,74.7
2019,New York,10025,274,289.9
2019,New York,10026,122,339
2019,New York,10027,190,305.7
2019,New York,10028,41,86.7
2019,New York,10029,506,642.1
2019,New York,10030,135,502.9
2019,New York,10031,157,271.9
2019,New York,10032,335,566.3
2019,New York,10033,155,289.7
2019,New York,10034,94,238.5
2019,New York,10035,501,1365.1
2019,New York,10036,158,549.3
2019,New York,10037,99,515.3
2019,New York,10038,92,392
2019,New York,10039,112,411.2
2019,New York,10040,80,195.7
2019,New York,10044,8,55.7*
2019,New York,10065,35,110.4
2019,New York,10075,107,377.4
2019,New York,10128,41,67.3
2019,New York,10280,s,s
2019,Richmond,10301,169,416.7
2019,Richmond,10302,94,482.6
2019,Richmond,10303,81,289.8
2019,Richmond,10304,147,339.5
2019,Richmond,10305,147,351.2
2019,Richmond,10306,185,332.6
2019,Richmond,10307,85,580.4
2019,Richmond,10308,112,400.9
2019,Richmond,10309,114,317.6
2019,Richmond,10310,70,277.2
2019,Richmond,10312,222,376
2019,Richmond,10314,213,246.3
2019,Bronx,10451,356,700.5
2019,Bronx,10452,430,535.9
2019,Bronx,10453,490,582.1
2019,Bronx,10454,279,711.8
2019,Bronx,10455,226,514.6
2019,Bronx,10456,714,772.8
2019,Bronx,10457,816,1085.9
2019,Bronx,10458,480,579.4
2019,Bronx,10459,304,583.8
2019,Bronx,10460,438,732.5
2019,Bronx,10461,233,460.1
2019,Bronx,10462,187,224.3
2019,Bronx,10463,153,209.4
2019,Bronx,10464,12,269.2
2019,Bronx,10465,142,329.9
2019,Bronx,10466,164,233.2
2019,Bronx,10467,452,443.8
2019,Bronx,10468,366,466.7
2019,Bronx,10469,167,242.6
2019,Bronx,10470,36,235.4
2019,Bronx,10471,67,274.6
2019,Bronx,10472,269,393.1
2019,Bronx,10473,190,306.5
2019,Bronx,10474,176,763.3
2019,Bronx,10475,44,85.6
2019,Westchester,10501,s,s
2019,Westchester,10502,s,s
2019,Westchester,10504,6,70.8*
2019,Westchester,10505,s,s
2019,Westchester,10506,s,s
2019,Westchester,10507,18,279.5
2019,Putnam,10509,24,126.3
2019,Westchester,10510,8,75.7*
2019,Westchester,10511,9,366.2*
2019,Putnam,10512,35,137.3
2019,Westchester,10514,8,67.3*
2019,Putnam,10516,7,133.4*
2019,Westchester,10518,0,0.0*
2019,Westchester,10520,15,113.4
2019,Westchester,10522,12,103.8
2019,Westchester,10523,21,249.6
2019,Putnam,10524,19,449.9
2019,Westchester,10526,s,s
2019,Westchester,10527,0,0.0*
2019,Westchester,10528,37,303.3
2019,Westchester,10530,12,97.2
2019,Westchester,10532,14,274.7
2019,Westchester,10533,s,s
2019,Westchester,10535,s,s
2019,Westchester,10536,12,105.6
2019,Putnam,10537,13,514.2
2019,Westchester,10538,6,34.9*
2019,Putnam,10541,42,163
2019,Westchester,10543,36,171.9
2019,Westchester,10546,s,s
2019,Westchester,10547,13,148.5
2019,Westchester,10548,16,275.1
2019,Westchester,10549,18,104.3
2019,Westchester,10550,121,321.6
2019,Westchester,10552,29,146.2
2019,Westchester,10553,30,262.4
2019,Westchester,10560,11,214.6
2019,Westchester,10562,51,155.8
2019,Westchester,10566,91,373.1
