GEOID,CountyFIPS,BoroCode,BoroName,BoroCT2020,CT2020,CTLabel,NTACode,NTAType,NTAName,NTAAbbrev,CDTACode,CDTAType,CDTAName
36047049900,047,3,Brooklyn,3049900,049900,499,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047056100,047,3,Brooklyn,3056100,056100,561,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047056301,047,3,Brooklyn,3056301,056301,563.01,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047056302,047,3,Brooklyn,3056302,056302,563.02,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047056500,047,3,Brooklyn,3056500,056500,565,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047056900,047,3,Brooklyn,3056900,056900,569,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047057100,047,3,Brooklyn,3057100,057100,571,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047057300,047,3,Brooklyn,3057300,057300,573,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047057500,047,3,Brooklyn,3057500,057500,575,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047057901,047,3,Brooklyn,3057901,057901,579.01,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047057902,047,3,Brooklyn,3057902,057902,579.02,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047058901,047,3,Brooklyn,3058901,058901,589.01,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047058902,047,3,Brooklyn,3058902,058902,589.02,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047059100,047,3,Brooklyn,3059100,059100,591,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047059300,047,3,Brooklyn,3059300,059300,593,BK0101,0,Greenpoint,Grnpt,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047051300,047,3,Brooklyn,3051300,051300,513,BK0102,0,Williamsburg,Wllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047051500,047,3,Brooklyn,3051500,051500,515,BK0102,0,Williamsburg,Wllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047051700,047,3,Brooklyn,3051700,051700,517,BK0102,0,Williamsburg,Wllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047051900,047,3,Brooklyn,3051900,051900,519,BK0102,0,Williamsburg,Wllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047052300,047,3,Brooklyn,3052300,052300,523,BK0102,0,Williamsburg,Wllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047052500,047,3,Brooklyn,3052500,052500,525,BK0102,0,Williamsburg,Wllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047052700,047,3,Brooklyn,3052700,052700,527,BK0102,0,Williamsburg,Wllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047054700,047,3,Brooklyn,3054700,054700,547,BK0102,0,Williamsburg,Wllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047054900,047,3,Brooklyn,3054900,054900,549,BK0102,0,Williamsburg,Wllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047055100,047,3,Brooklyn,3055100,055100,551,BK0102,0,Williamsburg,Wllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047055300,047,3,Brooklyn,3055300,055300,553,BK0102,0,Williamsburg,Wllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047055500,047,3,Brooklyn,3055500,055500,555,BK0102,0,Williamsburg,Wllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047055700,047,3,Brooklyn,3055700,055700,557,BK0102,0,Williamsburg,Wllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047050700,047,3,Brooklyn,3050700,050700,507,BK0103,0,South Williamsburg,SWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047050900,047,3,Brooklyn,3050900,050900,509,BK0103,0,South Williamsburg,SWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047052900,047,3,Brooklyn,3052900,052900,529,BK0103,0,South Williamsburg,SWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047053101,047,3,Brooklyn,3053101,053101,531.01,BK0103,0,South Williamsburg,SWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047053102,047,3,Brooklyn,3053102,053102,531.02,BK0103,0,South Williamsburg,SWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047053300,047,3,Brooklyn,3053300,053300,533,BK0103,0,South Williamsburg,SWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047053500,047,3,Brooklyn,3053500,053500,535,BK0103,0,South Williamsburg,SWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047053700,047,3,Brooklyn,3053700,053700,537,BK0103,0,South Williamsburg,SWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047053900,047,3,Brooklyn,3053900,053900,539,BK0103,0,South Williamsburg,SWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047054500,047,3,Brooklyn,3054500,054500,545,BK0103,0,South Williamsburg,SWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047044901,047,3,Brooklyn,3044901,044901,449.01,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047044902,047,3,Brooklyn,3044902,044902,449.02,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047045300,047,3,Brooklyn,3045300,045300,453,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047047700,047,3,Brooklyn,3047700,047700,477,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047048100,047,3,Brooklyn,3048100,048100,481,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047048500,047,3,Brooklyn,3048500,048500,485,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047048900,047,3,Brooklyn,3048900,048900,489,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047049100,047,3,Brooklyn,3049100,049100,491,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047049301,047,3,Brooklyn,3049301,049301,493.01,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047049302,047,3,Brooklyn,3049302,049302,493.02,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047049500,047,3,Brooklyn,3049500,049500,495,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047049700,047,3,Brooklyn,3049700,049700,497,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047050100,047,3,Brooklyn,3050100,050100,501,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047050300,047,3,Brooklyn,3050300,050300,503,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047050500,047,3,Brooklyn,3050500,050500,505,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047051100,047,3,Brooklyn,3051100,051100,511,BK0104,0,East Williamsburg,EWllmsbrg,BK01,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
36047000100,047,3,Brooklyn,3000100,000100,1,BK0201,0,Brooklyn Heights,BkHts,BK02,CD,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)
36047000301,047,3,Brooklyn,3000301,000301,3.01,BK0201,0,Brooklyn Heights,BkHts,BK02,CD,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)
36047000501,047,3,Brooklyn,3000501,000501,5.01,BK0201,0,Brooklyn Heights,BkHts,BK02,CD,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)
