borough,precinct_name,phone,address,city,full_address,latitude,longitude,precinct
Manhattan,1st Precinct,212-334-0611,16 Ericsson Place,New York,"16 Ericsson Place New York, New York",40.72022,-74.00701,1
Manhattan,5th Precinct,212-334-0711,19 Elizabeth Street,New York,"19 Elizabeth Street New York, New York",40.71615,-73.99735,5
Manhattan,6th Precinct,212-741-4811,233 West 10 Street,New York,"233 West 10 Street New York, New York",40.73396,-74.00543,6
Manhattan,7th Precinct,212-477-7311,19 1/2 Pitt Street,New York,"19 1/2 Pitt Street New York, New York",40.71652529,-73.9840589,7
Manhattan,9th Precinct,212-477-7811,321 East 5 Street,New York,"321 East 5 Street New York, New York",40.72644,-73.9879,9
Manhattan,10th Precinct,212-741-8211,230 West 20th Street,New York,"230 West 20th Street New York, New York",40.7428,-73.99858,10
Manhattan,13th Precinct,212-477-7411,230 East 21st Street,New York,"230 East 21st Street New York, New York",40.73688,-73.98276,13
Manhattan,Midtown South Precinct,212-239-9811,357 West 35th Street,New York,"357 West 35th Street New York, New York",40.75382,-73.99499,14
Manhattan,17th Precinct,212-826-3211,167 East 51st Street,New York,"167 East 51st Street New York, New York",40.75676,-73.97079,17
Manhattan,Midtown North Precinct,212-767-8400,306 West 54th Street,New York,"306 West 54th Street New York, New York",40.76501,-73.98505,18
Manhattan,19th Precinct,212-452-0600,153 East 67th Street,New York,"153 East 67th Street New York, New York",40.76705,-73.96382,19
Manhattan,20th Precinct,212-580-6411,120 West 82nd Street,New York,"120 West 82nd Street New York, New York",40.78418,-73.97499,20
Manhattan,Central Park Precinct,212-570-4820,86th St & Transverse Road,New York,"86th St & Transverse Road New York, New York",40.78402189,-73.96566506,22
Manhattan,23rd Precinct,212-860-6411,164 East 102nd Street,New York,"164 East 102nd Street New York, New York",40.78918,-73.94722,23
Manhattan,24th Precinct,212-678-1811,151 West 100th Street,New York,"151 West 100th Street New York, New York",40.7964,-73.96736,24
Manhattan,25th Precinct,212-860-6511,120 East 119th Street,New York,"120 East 119th Street New York, New York",40.80079,-73.94102,25
Manhattan,26th Precinct,212-678-1311,520 West 126th Street,New York,"520 West 126th Street New York, New York",40.81474,-73.95641,26
Manhattan,28th Precinct,212-678-1611,2271-89 8th Avenue,New York,"2271-89 8th Avenue New York, New York",40.80933195,-73.95249064,28
Manhattan,30th Precinct,212-690-8811,451 West 151st Street,New York,"451 West 151st Street New York, New York",40.82871,-73.9438,30
Manhattan,32nd Precinct,212-690-6311,250 West 135th Street,New York,"250 West 135th Street New York, New York",40.81581,-73.9453,32
Manhattan,33rd Precinct,212-927-3200,2207 Amsterdam Avenue,New York,"2207 Amsterdam Avenue New York, New York",40.84071,-73.93564,33
Manhattan,34th Precinct,212-927-9711,4295 Broadway,New York,"4295 Broadway New York, New York",40.85151,-73.93528,34
Bronx,40th Precinct,718-402-2270,257 Alexander Avenue,The Bronx,"257 Alexander Avenue The Bronx, New York",40.81031,-73.9252,40
Bronx,41st Precinct,718-542-4771,1035 Longwood Avenue,The Bronx,"1035 Longwood Avenue The Bronx, New York",40.81629,-73.89581,41
Bronx,42nd Precinct,718-402-3887,830 Washington Avenue,The Bronx,"830 Washington Avenue The Bronx, New York",40.82246,-73.91134,42
Bronx,43rd Precinct,718-542-0888,900 Fteley Avenue,The Bronx,"900 Fteley Avenue The Bronx, New York",40.82311,-73.86991,43
Bronx,44th Precinct,718-590-5511,2 East 169th Street,The Bronx,"2 East 169th Street The Bronx, New York",40.83765,-73.91951,44
