UHF of residence,UHF Name,Number,"Rate/100,000"
101,Kingsbridge-Riverdale,18,27.2
102,Northeast Bronx,47,27.1
103,Fordham-Bronx Park,92,45.9
104,Pelham-Throgs Neck,81,34.4
105,Crotona-Tremont,120,73.8
106,Highbridge-Morrissania,99,60.5
107,Hunts Point-Mott Haven,78,75.3
201,Greenpoint,20,23.1
202,Downtown-Heights-Slope,35,18.4
203,Bedford Stuyvesant-Crown Heights,80,30.8
204,East New York,59,41.4
205,Sunset Park,18,18.5
206,Borough Park,21,8.7
207,East Flatbush-Flatbush,41,17.4
208,Canarsie-Flatlands,22,14.2
209,Bensonhurst-Bay Ridge,25,16.2
210,Coney Island,59,27.1
211,Williamsburg-Bushwick,43,27
301,Wash Heights-Inwood,64,29.6
302,Central Harlem,72,49.2
303,East Harlem,47,51
304,Upper West Side,40,21.7
305,Upper East Side,16,10.3
306,Chelsea-Clinton,36,23.2
307,Gramercy Park-Murray Hill,16,13.4
308,Greenwich Village-SoHo,X,X
309,Union Square,48,30.6
310,Lower Manhattan,X,X
401,Long Island City-Astoria,43,23.1
402,West Queens,47,12.9
403,Flushing - Clearview,42,23.9
404,Bayside-Little Neck,6,9.9
405,Ridgewood,35,16.7
406,Fresh Meadows,9,12.8
407,Southwest Queens,54,25
408,Jamaica,61,23.6
409,Southeast Queens,25,15
410,Rockaway,37,39.2
501,Port Richmond,19,36.7
502,Stapleton-St. George,48,50.1
503,Willowbrook,18,28.2
504,South Beach-Tottenville,47,33.9
