Provider No,Provider Name,Program No,Program Name,Program Type,Service Type,Zip Code of Residence at Admission,Admissions
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10023,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10027,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10031,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10033,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10036,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10038,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10044,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10065,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10304,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10306,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10309,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10314,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10451,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10452,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10456,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10457,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10459,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10462,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10467,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10468,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10469,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,10473,
