Report Date,Borough,Community District,Adult Family Comm Hotel,Adult Family Shelter,Adult Shelter,Adult Shelter Comm Hotel,FWC Cluster,FWC Comm Hotel,FWC Shelter
10/31/2020,Bronx,201,,1,2,1,1,1,7
10/31/2020,Bronx,202,,1,1,,2,,5
10/31/2020,Bronx,203,,2,6,1,1,1,7
10/31/2020,Bronx,204,,,2,1,8,,15
10/31/2020,Bronx,205,,1,3,,9,,6
10/31/2020,Bronx,206,,1,2,,1,,18
10/31/2020,Bronx,207,,1,4,,2,,3
10/31/2020,Bronx,208,,,,,,,1
10/31/2020,Bronx,209,,,1,,1,,4
10/31/2020,Bronx,210,,,,,,,3
10/31/2020,Bronx,211,,,,,,,
10/31/2020,Bronx,212,,,1,1,,,3
10/31/2020,Brooklyn,301,,1,4,1,,1,
10/31/2020,Brooklyn,302,,1,4,2,,,1
10/31/2020,Brooklyn,303,,,3,1,3,1,10
10/31/2020,Brooklyn,304,,,2,3,1,,4
10/31/2020,Brooklyn,305,,,7,5,,1,6
10/31/2020,Brooklyn,306,,1,1,3,,,1
10/31/2020,Brooklyn,307,,,2,7,,,
10/31/2020,Brooklyn,308,,,3,1,,,6
10/31/2020,Brooklyn,309,,,1,,,,1
10/31/2020,Brooklyn,312,,,1,1,,,1
10/31/2020,Brooklyn,313,,,,,,1,
10/31/2020,Brooklyn,314,,,,,,,1
10/31/2020,Brooklyn,315,,,,,,,1
10/31/2020,Brooklyn,316,,,4,4,,3,15
10/31/2020,Brooklyn,317,,,,1,,,2
10/31/2020,Brooklyn,318,,1,,,,,2
10/31/2020,Manhattan,101,,,,2,,1,
10/31/2020,Manhattan,102,,,,1,,,
10/31/2020,Manhattan,103,,,6,4,3,2,3
10/31/2020,Manhattan,104,,,2,7,,2,
10/31/2020,Manhattan,105,,1,,11,,7,1
10/31/2020,Manhattan,106,,,3,3,,,
10/31/2020,Manhattan,107,,1,3,4,,,3
10/31/2020,Manhattan,108,,,1,1,,,
10/31/2020,Manhattan,109,,,,,,,5
10/31/2020,Manhattan,110,,,8,,,,11
10/31/2020,Manhattan,111,,,10,,,,8
10/31/2020,Manhattan,112,,,3,,,1,
10/31/2020,Queens,401,,,1,7,,2,2
10/31/2020,Queens,402,,1,,1,,3,1
10/31/2020,Queens,403,,,,2,,,4
10/31/2020,Queens,404,,,,1,,1,1
10/31/2020,Queens,405,,,1,,,,
10/31/2020,Queens,407,,,2,2,,2,
10/31/2020,Queens,408,,,,,,,1
10/31/2020,Queens,409,,,1,,,,
10/31/2020,Queens,410,2,,1,1,,3,
10/31/2020,Queens,412,,1,3,7,,,6
10/31/2020,Queens,413,,,,5,,2,2
10/31/2020,Queens,414,,1,1,2,,1,1
10/31/2020,Staten Island,501,,,,,,,1
11/30/2020,Bronx,201,,1,2,2,1,,7
11/30/2020,Bronx,202,,1,1,,2,,5
11/30/2020,Bronx,203,,2,6,1,1,1,7
11/30/2020,Bronx,204,,,2,1,8,,15
11/30/2020,Bronx,205,,1,3,,9,,7
11/30/2020,Bronx,206,,1,2,,1,,18
11/30/2020,Bronx,207,,1,4,,2,,3
11/30/2020,Bronx,208,,,,,,,1
11/30/2020,Bronx,209,,,1,,1,,4
