Report Date,Borough,Community District,Case Type,Cases,Individuals
02/29/2020,Bronx,1,All Case Types,905,2023
02/29/2020,Bronx,2,All Case Types,432,977
02/29/2020,Bronx,3,All Case Types,835,1982
02/29/2020,Bronx,4,All Case Types,952,2142
02/29/2020,Bronx,5,All Case Types,885,1973
02/29/2020,Bronx,6,All Case Types,695,1608
02/29/2020,Bronx,7,All Case Types,620,1335
02/29/2020,Bronx,8,All Case Types,163,320
02/29/2020,Bronx,9,All Case Types,814,1825
02/29/2020,Bronx,10,All Case Types,238,516
02/29/2020,Bronx,11,All Case Types,365,751
02/29/2020,Bronx,12,All Case Types,866,1924
02/29/2020,Bronx,Unknown CD,All Case Types,1715,3017
02/29/2020,Brooklyn,1,All Case Types,231,435
02/29/2020,Brooklyn,2,All Case Types,272,442
02/29/2020,Brooklyn,3,All Case Types,907,1706
02/29/2020,Brooklyn,4,All Case Types,378,726
02/29/2020,Brooklyn,5,All Case Types,1239,2575
02/29/2020,Brooklyn,6,All Case Types,150,284
02/29/2020,Brooklyn,7,All Case Types,117,213
02/29/2020,Brooklyn,8,All Case Types,413,753
02/29/2020,Brooklyn,9,All Case Types,334,571
02/29/2020,Brooklyn,10,All Case Types,65,120
02/29/2020,Brooklyn,11,All Case Types,99,193
02/29/2020,Brooklyn,12,All Case Types,91,157
02/29/2020,Brooklyn,13,All Case Types,235,468
02/29/2020,Brooklyn,14,All Case Types,301,530
02/29/2020,Brooklyn,15,All Case Types,103,170
02/29/2020,Brooklyn,16,All Case Types,753,1571
02/29/2020,Brooklyn,17,All Case Types,622,1226
02/29/2020,Brooklyn,18,All Case Types,410,813
02/29/2020,Brooklyn,Unknown CD,All Case Types,1395,2320
02/29/2020,Manhattan,1,All Case Types,228,466
02/29/2020,Manhattan,2,All Case Types,36,50
02/29/2020,Manhattan,3,All Case Types,344,597
02/29/2020,Manhattan,4,All Case Types,206,305
02/29/2020,Manhattan,5,All Case Types,88,132
02/29/2020,Manhattan,6,All Case Types,114,133
02/29/2020,Manhattan,7,All Case Types,195,318
02/29/2020,Manhattan,8,All Case Types,81,123
02/29/2020,Manhattan,9,All Case Types,381,697
02/29/2020,Manhattan,10,All Case Types,782,1401
02/29/2020,Manhattan,11,All Case Types,728,1289
02/29/2020,Manhattan,12,All Case Types,394,709
02/29/2020,Manhattan,Unknown CD,All Case Types,2192,2903
02/29/2020,Queens,1,All Case Types,531,711
02/29/2020,Queens,2,All Case Types,298,385
02/29/2020,Queens,3,All Case Types,147,272
02/29/2020,Queens,4,All Case Types,129,234
