Report Date,Borough,Community Districts,Census Type,Adult Family Commercial Hotel,Adult Family Shelter,Adult Shelter,Adult Shelter Commercial Hotel,Family Cluster,Family with Children Commercial Hotel,Family with Children Shelter
10/31/2020,Bronx,1,Individuals,,189,73,140,31,64,1202
10/31/2020,Bronx,2,Individuals,,160,0,,204,,866
10/31/2020,Bronx,3,Individuals,,258,218,123,62,115,1295
10/31/2020,Bronx,4,Individuals,,,206,99,910,,2134
10/31/2020,Bronx,5,Individuals,,203,0,,755,,1054
10/31/2020,Bronx,6,Individuals,,66,33,,205,,1898
10/31/2020,Bronx,7,Individuals,,99,101,,234,,275
10/31/2020,Bronx,8,Individuals,,,,,,,233
10/31/2020,Bronx,9,Individuals,,,50,,167,,752
10/31/2020,Bronx,10,Individuals,,,,,,,591
10/31/2020,Bronx,11,Individuals,,,,,,,
10/31/2020,Bronx,12,Individuals,,,74,137,,,281
10/31/2020,Brooklyn,1,Individuals,,145,330,227,,101,
10/31/2020,Brooklyn,2,Individuals,,78,96,296,,,68
10/31/2020,Brooklyn,3,Individuals,,,31,100,69,235,487
10/31/2020,Brooklyn,4,Individuals,,,100,281,39,,802
10/31/2020,Brooklyn,5,Individuals,,,441,379,,93,281
10/31/2020,Brooklyn,6,Individuals,,112,48,421,,,289
10/31/2020,Brooklyn,7,Individuals,,,185,693,,,
10/31/2020,Brooklyn,8,Individuals,,,221,87,,,429
10/31/2020,Brooklyn,9,Individuals,,,111,,,,422
10/31/2020,Brooklyn,10,Individuals,,,,,,,
10/31/2020,Brooklyn,11,Individuals,,,,,,,
10/31/2020,Brooklyn,12,Individuals,,,0,96,,,140
10/31/2020,Brooklyn,13,Individuals,,,,,,118,
10/31/2020,Brooklyn,14,Individuals,,,,,,,83
10/31/2020,Brooklyn,15,Individuals,,,,,,,194
10/31/2020,Brooklyn,16,Individuals,,,141,385,,143,2310
10/31/2020,Brooklyn,17,Individuals,,,,136,,,647
10/31/2020,Brooklyn,18,Individuals,,340,,,,,746
10/31/2020,Manhattan,1,Individuals,,,,169,,96,
10/31/2020,Manhattan,2,Individuals,,,,159,,,
10/31/2020,Manhattan,3,Individuals,,,131,534,14,190,323
10/31/2020,Manhattan,4,Individuals,,,0,1449,,518,
10/31/2020,Manhattan,5,Individuals,,294,,1718,,1634,336
10/31/2020,Manhattan,6,Individuals,,,582,514,,,
10/31/2020,Manhattan,7,Individuals,,204,62,655,,,558
10/31/2020,Manhattan,8,Individuals,,,40,301,,,
10/31/2020,Manhattan,9,Individuals,,,,,,,673
10/31/2020,Manhattan,10,Individuals,,,388,,,,749
10/31/2020,Manhattan,11,Individuals,,,776,,,,541
