zip_code,uhf_code,borough_name,neighborhood_name
10453,105,Bronx,Crotona - Tremont
10457,105,Bronx,Crotona - Tremont
10460,105,Bronx,Crotona - Tremont
10458,103,Bronx,Fordham - Bronx Park
10467,103,Bronx,Fordham - Bronx Park
10468,103,Bronx,Fordham - Bronx Park
10451,106,Bronx,High Bridge - Morrisania
10452,106,Bronx,High Bridge - Morrisania
10456,106,Bronx,High Bridge - Morrisania
10454,107,Bronx,Hunts Point - Mott Haven
10455,107,Bronx,Hunts Point - Mott Haven
10459,107,Bronx,Hunts Point - Mott Haven
10474,107,Bronx,Hunts Point - Mott Haven
10463,101,Bronx,Kingsbridge - Riverdale
10471,101,Bronx,Kingsbridge - Riverdale
10466,102,Bronx,Northeast Bronx
10469,102,Bronx,Northeast Bronx
10470,102,Bronx,Northeast Bronx
10475,102,Bronx,Northeast Bronx
10461,104,Bronx,Pelhem - Throgs Neck
10462,104,Bronx,Pelhem - Throgs Neck
10464,104,Bronx,Pelhem - Throgs Neck
10465,104,Bronx,Pelhem - Throgs Neck
10472,104,Bronx,Pelhem - Throgs Neck
10473,104,Bronx,Pelhem - Throgs Neck
11212,203,Brooklyn,Bedford Stuyvesant - Crown Heights
11213,203,Brooklyn,Bedford Stuyvesant - Crown Heights
11216,203,Brooklyn,Bedford Stuyvesant - Crown Heights
11233,203,Brooklyn,Bedford Stuyvesant - Crown Heights
11238,203,Brooklyn,Bedford Stuyvesant - Crown Heights
11209,209,Brooklyn,Bensonhurst - Bay Ridge
11214,209,Brooklyn,Bensonhurst - Bay Ridge
11228,209,Brooklyn,Bensonhurst - Bay Ridge
11204,206,Brooklyn,Borough Park
11218,206,Brooklyn,Borough Park
11219,206,Brooklyn,Borough Park
11230,206,Brooklyn,Borough Park
11234,208,Brooklyn,Canarsie - Flatlands
11236,208,Brooklyn,Canarsie - Flatlands
11239,208,Brooklyn,Canarsie - Flatlands
11223,210,Brooklyn,Coney Island - Sheepshead Bay
11224,210,Brooklyn,Coney Island - Sheepshead Bay
11229,210,Brooklyn,Coney Island - Sheepshead Bay
11235,210,Brooklyn,Coney Island - Sheepshead Bay
11201,202,Brooklyn,Downtown - Heights - Slope
11205,202,Brooklyn,Downtown - Heights - Slope
11215,202,Brooklyn,Downtown - Heights - Slope
11217,202,Brooklyn,Downtown - Heights - Slope
11231,202,Brooklyn,Downtown - Heights - Slope
11203,207,Brooklyn,East Flatbush - Flatbush
11210,207,Brooklyn,East Flatbush - Flatbush
11225,207,Brooklyn,East Flatbush - Flatbush
11226,204,Brooklyn,East New York
11207,204,Brooklyn,East New York
11208,204,Brooklyn,East New York
11211,201,Brooklyn,Greenpoint
11222,201,Brooklyn,Greenpoint
11220,205,Brooklyn,Sunset Park
11232,205,Brooklyn,Sunset Park
11206,211,Brooklyn,Williamsburg - Bushwick
11221,211,Brooklyn,Williamsburg - Bushwick
11237,211,Brooklyn,Williamsburg - Bushwick
10026,302,Manhattan,Central Harlem - Morningside Heights
10027,302,Manhattan,Central Harlem - Morningside Heights
10030,302,Manhattan,Central Harlem - Morningside Heights
10037,302,Manhattan,Central Harlem - Morningside Heights
10039,302,Manhattan,Central Harlem - Morningside Heights
10001,306,Manhattan,Chelsea - Clinton
10011,306,Manhattan,Chelsea - Clinton
10018,306,Manhattan,Chelsea - Clinton
10019,306,Manhattan,Chelsea - Clinton
10020,306,Manhattan,Chelsea - Clinton
10036,306,Manhattan,Chelsea - Clinton
10029,303,Manhattan,East Harlem
10035,303,Manhattan,East Harlem
10010,307,Manhattan,Gramercy Park - Murray Hill
10016,307,Manhattan,Gramercy Park - Murray Hill
10017,307,Manhattan,Gramercy Park - Murray Hill
10022,307,Manhattan,Gramercy Park - Murray Hill
10012,308,Manhattan,Greenwich Village - Soho
10013,308,Manhattan,Greenwich Village - Soho
10014,308,Manhattan,Greenwich Village - Soho
10004,310,Manhattan,Lower Manhattan
10005,310,Manhattan,Lower Manhattan
10006,310,Manhattan,Lower Manhattan
10007,310,Manhattan,Lower Manhattan
10038,310,Manhattan,Lower Manhattan
10280,310,Manhattan,Lower Manhattan
